section,lesson,lesson_description,word,is_sight_word,phonetic_symbol,letter_combination,source
3,37,Words with the Short-O Vowel Sound,Ron,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,not,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,dot,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,hot,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,lot,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,got,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,pot,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,rot,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,is,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,in,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,did,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,nap,F,/ă/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,yip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,a,T,/ā/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,rip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,sit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,lid,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,dog,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,fog,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,hog,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,jog,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,log,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,hop,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,pop,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,sob,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,job,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,Bob,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,has,F,/ă/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,a,T,/ā/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,at,F,/ă/,,OPG_Revised_Instructor.pdf
3,38,Words with the Short-O Vowel Sound,his,F,/ĭ/,,OPG_Revised_Instructor.pdf
